"hid","act","subsidy","age","literate","voucher","stratum"
"3284",0,0,54,NA,0,"28"
"3292",1,0,25,1,1,"28"
"3301",1,1,23,1,1,"28"
"3303",0,1,65,0,0,"28"
"3307",0,1,51,1,1,"28"
"3310",0,0,56,0,0,"28"
"3313",0,1,22,1,0,"28"
"3317",0,1,35,0,0,"27"
"3320",0,1,50,0,0,"27"
"3325",0,1,28,1,0,"27"
"3335",0,1,NA,0,0,"25"
"3337",0,1,78,0,0,"27"
"3347",0,1,32,1,0,"27"
"3356",0,0,23,0,0,"27"
"3357",0,1,40,1,0,"27"
"3358",0,1,19,0,0,"27"
"3359",0,0,45,1,0,"27"
"3361",0,0,44,0,0,"27"
"3375",0,1,28,1,0,"28"
"3376",1,1,33,0,1,"28"
"3388",0,1,72,0,0,"26"
"3399",0,1,19,1,0,"26"
"3401",0,1,23,1,0,"28"
"3410",0,1,24,0,0,"26"
"3414",0,1,46,1,0,"27"
"3430",1,1,21,1,0,"26"
"3444",0,0,51,0,0,"27"
"3444",0,0,51,0,0,"27"
"3450",0,1,30,0,0,"28"
"21009",0,1,45,0,1,"14"
"21009",0,1,45,0,0,"14"
"21009",0,1,45,0,0,"14"
"21010",NA,1,27,1,NA,"14"
"21020",0,1,40,1,0,"14"
"21021",0,1,32,1,0,"14"
"21024",0,1,25,0,0,"15"
"21035",0,1,50,1,0,"15"
"21036",1,1,23,1,1,"15"
"21040",1,1,33,1,0,"14"
"21043",1,1,19,1,1,"14"
"21044",0,0,35,0,0,"15"
"21053",0,1,81,0,0,"13"
"21061",1,0,71,0,0,"13"
"21066",1,0,63,1,1,"13"
